#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: EXEXM02_01_1997
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19971203 TO 19971231
#LOCATION: Exmouth 02
#Station Status:  Current
#Lat: -21.954861  Long: 114.140889
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LAT     which is   12.796   m below Benchmark   DMH 052   
#National Station ID:   62435 (ANTT)
#Site Description: Located in Exmouth marina.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00195,19971203.1200/
00197,19971203.1205/
00199,19971203.1210/
00201,19971203.1215/
00202,19971203.1220/
00204,19971203.1225/
00205,19971203.1230/
00206,19971203.1235/
00207,19971203.1240/
00209,19971203.1245/
00210,19971203.1250/
00211,19971203.1255/
00212,19971203.1300/
00212,19971203.1305/
00211,19971203.1310/
00211,19971203.1315/
00211,19971203.1320/
00211,19971203.1325/
00213,19971204.0235/
00210,19971204.0240/
00208,19971204.0245/
00205,19971204.0250/
00201,19971204.0255/
00198,19971204.0300/
00194,19971204.0305/
00190,19971204.0310/
00186,19971204.0315/
00182,19971204.0320/
00178,19971204.0325/
00174,19971204.0330/
00169,19971204.0335/
00165,19971204.0340/
00161,19971204.0345/
00157,19971204.0350/
00153,19971204.0355/
00149,19971204.0400/
00144,19971204.0405/
00139,19971204.0410/
00134,19971204.0415/
00130,19971204.0420/
00127,19971204.0425/
00123,19971204.0430/
00119,19971204.0435/
00115,19971204.0440/
00110,19971204.0445/
00105,19971204.0450/
00101,19971204.0455/
00097,19971204.0500/
00093,19971204.0505/
00090,19971204.0510/
00087,19971204.0515/
00083,19971204.0520/
00080,19971204.0525/
00076,19971204.0530/
00072,19971204.0535/
00069,19971204.0540/
00066,19971204.0545/
00063,19971204.0550/
00060,19971204.0555/
00058,19971204.0600/
00055,19971204.0605/
00053,19971204.0610/
00051,19971204.0615/
00049,19971204.0620/
00047,19971204.0625/
00045,19971204.0630/
00042,19971204.0635/
00040,19971204.0640/
00038,19971204.0645/
00037,19971204.0650/
00036,19971204.0655/
00036,19971204.0700/
00034,19971204.0705/
00033,19971204.0710/
00033,19971204.0715/
00032,19971204.0720/
00032,19971204.0725/
00032,19971204.0730/
00032,19971204.0735/
00032,19971204.0740/
00032,19971204.0745/
00032,19971204.0750/
00032,19971204.0755/
00033,19971204.0800/
00034,19971204.0805/
00036,19971204.0810/
00038,19971204.0815/
00039,19971204.0820/
00040,19971204.0825/
00041,19971204.0830/
00042,19971204.0835/
00044,19971204.0840/
00046,19971204.0845/
00049,19971204.0850/
00051,19971204.0855/
00054,19971204.0900/
00053,19971204.0905/
00053,19971204.0910/
00053,19971204.0915/
00056,19971204.0920/
00059,19971204.0925/
00063,19971204.0930/
00066,19971204.0935/
00068,19971204.0940/
00072,19971204.0945/
00075,19971204.0950/
00078,19971204.0955/
00082,19971204.1000/
00086,19971204.1005/
00089,19971204.1010/
00093,19971204.1015/
00097,19971204.1020/
00100,19971204.1025/
00104,19971204.1030/
00108,19971204.1035/
00112,19971204.1040/
00116,19971204.1045/
00119,19971204.1050/
00123,19971204.1055/
00126,19971204.1100/
00130,19971204.1105/
00134,19971204.1110/
00138,19971204.1115/
00141,19971204.1120/
00145,19971204.1125/
00149,19971204.1130/
00152,19971204.1135/
00155,19971204.1140/
00158,19971204.1145/
00161,19971204.1150/
00164,19971204.1155/
00167,19971204.1200/
00170,19971204.1205/
00173,19971204.1210/
00176,19971204.1215/
00178,19971204.1220/
00180,19971204.1225/
00183,19971204.1230/
00185,19971204.1235/
00186,19971204.1240/
00188,19971204.1245/
00190,19971204.1250/
00192,19971204.1255/
00193,19971204.1300/
00194,19971204.1305/
00196,19971204.1310/
00197,19971204.1315/
00197,19971204.1320/
00198,19971204.1325/
00199,19971204.1330/
00200,19971204.1335/
00201,19971204.1340/
00202,19971204.1345/
00202,19971204.1350/
00201,19971204.1355/
00201,19971204.1400/
00201,19971204.1405/
00201,19971204.1410/
00201,19971204.1415/
00200,19971204.1420/
00199,19971204.1425/
00199,19971204.1430/
00198,19971204.1435/
00197,19971204.1440/
00196,19971204.1445/
00195,19971204.1450/
00193,19971204.1455/
00192,19971204.1500/
00190,19971204.1505/
00188,19971204.1510/
00187,19971204.1515/
00185,19971204.1520/
00183,19971204.1525/
00181,19971204.1530/
00179,19971204.1535/
00177,19971204.1540/
00175,19971204.1545/
00172,19971204.1550/
00169,19971204.1555/
00166,19971204.1600/
00163,19971204.1605/
00160,19971204.1610/
00157,19971204.1615/
00154,19971204.1620/
00151,19971204.1625/
00148,19971204.1630/
00145,19971204.1635/
00141,19971204.1640/
00138,19971204.1645/
00135,19971204.1650/
00131,19971204.1655/
00128,19971204.1700/
00124,19971204.1705/
00121,19971204.1710/
00118,19971204.1715/
00115,19971204.1720/
00112,19971204.1725/
00109,19971204.1730/
00106,19971204.1735/
00103,19971204.1740/
00100,19971204.1745/
00098,19971204.1750/
00095,19971204.1755/
00093,19971204.1800/
00091,19971204.1805/
00089,19971204.1810/
00087,19971204.1815/
00085,19971204.1820/
00083,19971204.1825/
00082,19971204.1830/
00081,19971204.1835/
00080,19971204.1840/
00079,19971204.1845/
00078,19971204.1850/
00078,19971204.1855/
00077,19971204.1900/
00076,19971204.1905/
00076,19971204.1910/
00076,19971204.1915/
00075,19971204.1920/
00075,19971204.1925/
00075,19971204.1930/
00075,19971204.1935/
00076,19971204.1940/
00077,19971204.1945/
00077,19971204.1950/
00078,19971204.1955/
00079,19971204.2000/
00080,19971204.2005/
00081,19971204.2010/
00083,19971204.2015/
00084,19971204.2020/
00086,19971204.2025/
00088,19971204.2030/
00089,19971204.2035/
00091,19971204.2040/
00093,19971204.2045/
00095,19971204.2050/
00097,19971204.2055/
00100,19971204.2100/
00102,19971204.2105/
00105,19971204.2110/
00107,19971204.2115/
00109,19971204.2120/
00112,19971204.2125/
00115,19971204.2130/
00117,19971204.2135/
00121,19971204.2140/
00124,19971204.2145/
00126,19971204.2150/
00129,19971204.2155/
00132,19971204.2200/
00135,19971204.2205/
00138,19971204.2210/
00142,19971204.2215/
00145,19971204.2220/
00148,19971204.2225/
00152,19971204.2230/
00155,19971204.2235/
00158,19971204.2240/
00162,19971204.2245/
00165,19971204.2250/
00168,19971204.2255/
00171,19971204.2300/
00174,19971204.2305/
00177,19971204.2310/
00180,19971204.2315/
00182,19971204.2320/
00184,19971204.2325/
00187,19971204.2330/
00189,19971204.2335/
00192,19971204.2340/
00195,19971204.2345/
00197,19971204.2350/
00200,19971204.2355/
00203,19971205.0000/
00204,19971205.0005/
00206,19971205.0010/
00208,19971205.0015/
00209,19971205.0020/
00210,19971205.0025/
00212,19971205.0030/
00213,19971205.0035/
00214,19971205.0040/
00216,19971205.0045/
00217,19971205.0050/
00218,19971205.0055/
00220,19971205.0100/
00220,19971205.0105/
00221,19971205.0110/
00222,19971205.0115/
00222,19971205.0120/
00222,19971205.0125/
00222,19971205.0130/
00221,19971205.0135/
00221,19971205.0140/
00220,19971205.0145/
00219,19971205.0150/
00218,19971205.0155/
00218,19971205.0200/
00217,19971205.0205/
00216,19971205.0210/
00216,19971205.0215/
00214,19971205.0220/
00212,19971205.0225/
00211,19971205.0230/
00209,19971205.0235/
00207,19971205.0240/
00205,19971205.0245/
00203,19971205.0250/
00201,19971205.0255/
00199,19971205.0300/
00196,19971205.0305/
00194,19971205.0310/
00191,19971205.0315/
00187,19971205.0320/
00183,19971205.0325/
00180,19971205.0330/
00177,19971205.0335/
00174,19971205.0340/
00171,19971205.0345/
00168,19971205.0350/
00164,19971205.0355/
00160,19971205.0400/
00156,19971205.0405/
00151,19971205.0410/
00147,19971205.0415/
00143,19971205.0420/
00139,19971205.0425/
00136,19971205.0430/
00132,19971205.0435/
00128,19971205.0440/
00124,19971205.0445/
00119,19971205.0450/
00115,19971205.0455/
00111,19971205.0500/
00107,19971205.0505/
00103,19971205.0510/
00100,19971205.0515/
00096,19971205.0520/
00092,19971205.0525/
00088,19971205.0530/
00085,19971205.0535/
00082,19971205.0540/
00080,19971205.0545/
00075,19971205.0550/
00071,19971205.0555/
00067,19971205.0600/
00064,19971205.0605/
00061,19971205.0610/
00059,19971205.0615/
00056,19971205.0620/
00053,19971205.0625/
00050,19971205.0630/
00047,19971205.0635/
00045,19971205.0640/
00043,19971205.0645/
00040,19971205.0650/
00039,19971205.0655/
00037,19971205.0700/
00034,19971205.0705/
00032,19971205.0710/
00030,19971205.0715/
00029,19971205.0720/
00028,19971205.0725/
00028,19971205.0730/
00027,19971205.0735/
00026,19971205.0740/
00025,19971205.0745/
00024,19971205.0750/
00023,19971205.0755/
00023,19971205.0800/
00022,19971205.0805/
00022,19971205.0810/
00023,19971205.0815/
00023,19971205.0820/
00023,19971205.0825/
00024,19971205.0830/
00025,19971205.0835/
00026,19971205.0840/
00027,19971205.0845/
00028,19971205.0850/
00029,19971205.0855/
00030,19971205.0900/
00032,19971205.0905/
00034,19971205.0910/
00036,19971205.0915/
00038,19971205.0920/
00041,19971205.0925/
00043,19971205.0930/
00045,19971205.0935/
00047,19971205.0940/
00049,19971205.0945/
00052,19971205.0950/
00055,19971205.0955/
00058,19971205.1000/
00061,19971205.1005/
00064,19971205.1010/
00067,19971205.1015/
00070,19971205.1020/
00073,19971205.1025/
00077,19971205.1030/
00080,19971205.1035/
00084,19971205.1040/
00088,19971205.1045/
00091,19971205.1050/
00094,19971205.1055/
00098,19971205.1100/
00101,19971205.1105/
00104,19971205.1110/
00108,19971205.1115/
00112,19971205.1120/
00116,19971205.1125/
00120,19971205.1130/
00123,19971205.1135/
00127,19971205.1140/
00130,19971205.1145/
00133,19971205.1150/
00137,19971205.1155/
00140,19971205.1200/
00143,19971205.1205/
00147,19971205.1210/
00150,19971205.1215/
00153,19971205.1220/
00156,19971205.1225/
00159,19971205.1230/
00162,19971205.1235/
00164,19971205.1240/
00167,19971205.1245/
00169,19971205.1250/
00171,19971205.1255/
00173,19971205.1300/
00175,19971205.1305/
00177,19971205.1310/
00180,19971205.1315/
00182,19971205.1320/
00183,19971205.1325/
00185,19971205.1330/
00186,19971205.1335/
00188,19971205.1340/
00189,19971205.1345/
00190,19971205.1350/
00191,19971205.1355/
00192,19971205.1400/
00192,19971205.1405/
00193,19971205.1410/
00194,19971205.1415/
00195,19971205.1420/
00195,19971205.1425/
00195,19971205.1430/
00195,19971205.1435/
00196,19971205.1440/
00196,19971205.1445/
00195,19971205.1450/
00194,19971205.1455/
00194,19971205.1500/
00193,19971205.1505/
00192,19971205.1510/
00191,19971205.1515/
00190,19971205.1520/
00188,19971205.1525/
00187,19971205.1530/
00186,19971205.1535/
00185,19971205.1540/
00183,19971205.1545/
00181,19971205.1550/
00179,19971205.1555/
00177,19971205.1600/
00175,19971205.1605/
00172,19971205.1610/
00170,19971205.1615/
00168,19971205.1620/
00165,19971205.1625/
00163,19971205.1630/
00160,19971205.1635/
00158,19971205.1640/
00156,19971205.1645/
00152,19971205.1650/
00149,19971205.1655/
00146,19971205.1700/
00142,19971205.1705/
00139,19971205.1710/
00136,19971205.1715/
00132,19971205.1720/
00129,19971205.1725/
00126,19971205.1730/
00123,19971205.1735/
00120,19971205.1740/
00117,19971205.1745/
00114,19971205.1750/
00112,19971205.1755/
00110,19971205.1800/
00106,19971205.1805/
00103,19971205.1810/
00100,19971205.1815/
00097,19971205.1820/
00095,19971205.1825/
00094,19971205.1830/
00092,19971205.1835/
00089,19971205.1840/
00088,19971205.1845/
00086,19971205.1850/
00084,19971205.1855/
00083,19971205.1900/
00081,19971205.1905/
00080,19971205.1910/
00079,19971205.1915/
00078,19971205.1920/
00078,19971205.1925/
00078,19971205.1930/
00077,19971205.1935/
00077,19971205.1940/
00077,19971205.1945/
00076,19971205.1950/
00075,19971205.1955/
00075,19971205.2000/
00075,19971205.2005/
00076,19971205.2010/
00077,19971205.2015/
00077,19971205.2020/
00078,19971205.2025/
00079,19971205.2030/
00079,19971205.2035/
00081,19971205.2040/
00082,19971205.2045/
00082,19971205.2050/
00083,19971205.2055/
00085,19971205.2100/
00086,19971205.2105/
00088,19971205.2110/
00090,19971205.2115/
00091,19971205.2120/
00093,19971205.2125/
00095,19971205.2130/
00096,19971205.2135/
00098,19971205.2140/
00100,19971205.2145/
00102,19971205.2150/
00104,19971205.2155/
00107,19971205.2200/
00109,19971205.2205/
00112,19971205.2210/
00115,19971205.2215/
00117,19971205.2220/
00120,19971205.2225/
00123,19971205.2230/
00125,19971205.2235/
00128,19971205.2240/
00131,19971205.2245/
00133,19971205.2250/
00136,19971205.2255/
00138,19971205.2300/
00141,19971205.2305/
00144,19971205.2310/
00147,19971205.2315/
00149,19971205.2320/
00152,19971205.2325/
00155,19971205.2330/
00157,19971205.2335/
00160,19971205.2340/
00163,19971205.2345/
00166,19971205.2350/
00169,19971205.2355/
00172,19971206.0000/
00174,19971206.0005/
00176,19971206.0010/
00178,19971206.0015/
00180,19971206.0020/
00182,19971206.0025/
00184,19971206.0030/
00186,19971206.0035/
00188,19971206.0040/
00189,19971206.0045/
00190,19971206.0050/
00191,19971206.0055/
00193,19971206.0100/
00194,19971206.0105/
00196,19971206.0110/
00198,19971206.0115/
00199,19971206.0120/
00199,19971206.0125/
00200,19971206.0130/
00200,19971206.0135/
00200,19971206.0140/
00200,19971206.0145/
00200,19971206.0150/
00201,19971206.0155/
00202,19971206.0200/
00202,19971206.0205/
00202,19971206.0210/
00202,19971206.0215/
00202,19971206.0220/
00202,19971206.0225/
00203,19971206.0230/
00202,19971206.0235/
00200,19971206.0240/
00199,19971206.0245/
00198,19971206.0250/
00198,19971206.0255/
00197,19971206.0300/
00196,19971206.0305/
00194,19971206.0310/
00193,19971206.0315/
00191,19971206.0320/
00190,19971206.0325/
00188,19971206.0330/
00186,19971206.0335/
00184,19971206.0340/
00182,19971206.0345/
00180,19971206.0350/
00178,19971206.0355/
00176,19971206.0400/
00173,19971206.0405/
00170,19971206.0410/
00167,19971206.0415/
00164,19971206.0420/
00161,19971206.0425/
00159,19971206.0430/
00156,19971206.0435/
00153,19971206.0440/
00150,19971206.0445/
00146,19971206.0450/
00143,19971206.0455/
00140,19971206.0500/
00136,19971206.0505/
00133,19971206.0510/
00129,19971206.0515/
00126,19971206.0520/
00122,19971206.0525/
00119,19971206.0530/
00115,19971206.0535/
00112,19971206.0540/
00109,19971206.0545/
00106,19971206.0550/
00102,19971206.0555/
00099,19971206.0600/
00095,19971206.0605/
00091,19971206.0610/
00088,19971206.0615/
00084,19971206.0620/
00081,19971206.0625/
00079,19971206.0630/
00075,19971206.0635/
00072,19971206.0640/
00070,19971206.0645/
00067,19971206.0650/
00065,19971206.0655/
00063,19971206.0700/
00060,19971206.0705/
00058,19971206.0710/
00056,19971206.0715/
00054,19971206.0720/
00052,19971206.0725/
00050,19971206.0730/
00048,19971206.0735/
00046,19971206.0740/
00044,19971206.0745/
00042,19971206.0750/
00041,19971206.0755/
00040,19971206.0800/
00039,19971206.0805/
00038,19971206.0810/
00037,19971206.0815/
00036,19971206.0820/
00036,19971206.0825/
00035,19971206.0830/
00035,19971206.0835/
00035,19971206.0840/
00035,19971206.0845/
00035,19971206.0850/
00035,19971206.0855/
00036,19971206.0900/
00036,19971206.0905/
00036,19971206.0910/
00037,19971206.0915/
00038,19971206.0920/
00039,19971206.0925/
00041,19971206.0930/
00041,19971206.0935/
00042,19971206.0940/
00044,19971206.0945/
00045,19971206.0950/
00047,19971206.0955/
00049,19971206.1000/
00051,19971206.1005/
00053,19971206.1010/
00055,19971206.1015/
00058,19971206.1020/
00060,19971206.1025/
00063,19971206.1030/
00066,19971206.1035/
00068,19971206.1040/
00071,19971206.1045/
00074,19971206.1050/
00077,19971206.1055/
00080,19971206.1100/
00082,19971206.1105/
00085,19971206.1110/
00089,19971206.1115/
00092,19971206.1120/
00096,19971206.1125/
00099,19971206.1130/
00102,19971206.1135/
00105,19971206.1140/
00109,19971206.1145/
00112,19971206.1150/
00116,19971206.1155/
00120,19971206.1200/
00123,19971206.1205/
00126,19971206.1210/
00129,19971206.1215/
00132,19971206.1220/
00135,19971206.1225/
00139,19971206.1230/
00142,19971206.1235/
00145,19971206.1240/
00148,19971206.1245/
00151,19971206.1250/
00153,19971206.1255/
00156,19971206.1300/
00159,19971206.1305/
00161,19971206.1310/
00164,19971206.1315/
00166,19971206.1320/
00169,19971206.1325/
00171,19971206.1330/
00173,19971206.1335/
00175,19971206.1340/
00177,19971206.1345/
00178,19971206.1350/
00180,19971206.1355/
00181,19971206.1400/
00183,19971206.1405/
00184,19971206.1410/
00186,19971206.1415/
00187,19971206.1420/
00187,19971206.1425/
00188,19971206.1430/
00189,19971206.1435/
00189,19971206.1440/
00190,19971206.1445/
00191,19971206.1450/
00191,19971206.1455/
00192,19971206.1500/
00192,19971206.1505/
00192,19971206.1510/
00192,19971206.1515/
00192,19971206.1520/
00192,19971206.1525/
00192,19971206.1530/
00192,19971206.1535/
00191,19971206.1540/
00191,19971206.1545/
00190,19971206.1550/
00189,19971206.1555/
00188,19971206.1600/
00187,19971206.1605/
00186,19971206.1610/
00185,19971206.1615/
00183,19971206.1620/
00181,19971206.1625/
00180,19971206.1630/
00179,19971206.1635/
00178,19971206.1640/
00177,19971206.1645/
00174,19971206.1650/
00171,19971206.1655/
00169,19971206.1700/
00167,19971206.1705/
00165,19971206.1710/
00163,19971206.1715/
00160,19971206.1720/
00157,19971206.1725/
00155,19971206.1730/
00152,19971206.1735/
00149,19971206.1740/
00147,19971206.1745/
00144,19971206.1750/
00141,19971206.1755/
00139,19971206.1800/
00136,19971206.1805/
00133,19971206.1810/
00130,19971206.1815/
00126,19971206.1820/
00123,19971206.1825/
00121,19971206.1830/
00118,19971206.1835/
00115,19971206.1840/
00113,19971206.1845/
00111,19971206.1850/
00110,19971206.1855/
00109,19971206.1900/
00106,19971206.1905/
00104,19971206.1910/
00102,19971206.1915/
00100,19971206.1920/
00098,19971206.1925/
00096,19971206.1930/
00095,19971206.1935/
00093,19971206.1940/
00092,19971206.1945/
00091,19971206.1950/
00090,19971206.1955/
00089,19971206.2000/
00089,19971206.2005/
00088,19971206.2010/
00088,19971206.2015/
00087,19971206.2020/
00087,19971206.2025/
00086,19971206.2030/
00086,19971206.2035/
00087,19971206.2040/
00087,19971206.2045/
00087,19971206.2050/
00087,19971206.2055/
00088,19971206.2100/
00088,19971206.2105/
00088,19971206.2110/
00089,19971206.2115/
00090,19971206.2120/
00091,19971206.2125/
00092,19971206.2130/
00093,19971206.2135/
00094,19971206.2140/
00096,19971206.2145/
00097,19971206.2150/
00098,19971206.2155/
00099,19971206.2200/
00100,19971206.2205/
00102,19971206.2210/
00104,19971206.2215/
00105,19971206.2220/
00107,19971206.2225/
00109,19971206.2230/
00110,19971206.2235/
00112,19971206.2240/
00114,19971206.2245/
00115,19971206.2250/
00117,19971206.2255/
00120,19971206.2300/
00122,19971206.2305/
00124,19971206.2310/
00127,19971206.2315/
00129,19971206.2320/
00131,19971206.2325/
00133,19971206.2330/
00135,19971206.2335/
00137,19971206.2340/
00140,19971206.2345/
00142,19971206.2350/
00144,19971206.2355/
00147,19971207.0000/
00149,19971207.0005/
00152,19971207.0010/
00154,19971207.0015/
00156,19971207.0020/
00158,19971207.0025/
00160,19971207.0030/
00162,19971207.0035/
00165,19971207.0040/
00168,19971207.0045/
00170,19971207.0050/
00172,19971207.0055/
00175,19971207.0100/
00176,19971207.0105/
00177,19971207.0110/
00179,19971207.0115/
00180,19971207.0120/
00182,19971207.0125/
00184,19971207.0130/
00185,19971207.0135/
00186,19971207.0140/
00188,19971207.0145/
00189,19971207.0150/
00190,19971207.0155/
00191,19971207.0200/
00191,19971207.0205/
00192,19971207.0210/
00193,19971207.0215/
00194,19971207.0220/
00194,19971207.0225/
00195,19971207.0230/
00195,19971207.0235/
00195,19971207.0240/
00196,19971207.0245/
00195,19971207.0250/
00195,19971207.0255/
00195,19971207.0300/
00195,19971207.0305/
00196,19971207.0310/
00196,19971207.0315/
00195,19971207.0320/
00194,19971207.0325/
00193,19971207.0330/
00192,19971207.0335/
00191,19971207.0340/
00191,19971207.0345/
00190,19971207.0350/
00189,19971207.0355/
00188,19971207.0400/
00186,19971207.0405/
00185,19971207.0410/
00183,19971207.0415/
00181,19971207.0420/
00179,19971207.0425/
00178,19971207.0430/
00175,19971207.0435/
00173,19971207.0440/
00171,19971207.0445/
00169,19971207.0450/
00167,19971207.0455/
00165,19971207.0500/
00162,19971207.0505/
00160,19971207.0510/
00158,19971207.0515/
00155,19971207.0520/
00152,19971207.0525/
00149,19971207.0530/
00146,19971207.0535/
00144,19971207.0540/
00141,19971207.0545/
00138,19971207.0550/
00135,19971207.0555/
00132,19971207.0600/
00129,19971207.0605/
00126,19971207.0610/
00123,19971207.0615/
00120,19971207.0620/
00117,19971207.0625/
00114,19971207.0630/
00111,19971207.0635/
00108,19971207.0640/
00106,19971207.0645/
00103,19971207.0650/
00100,19971207.0655/
00097,19971207.0700/
00094,19971207.0705/
00091,19971207.0710/
00089,19971207.0715/
00086,19971207.0720/
00084,19971207.0725/
00082,19971207.0730/
00079,19971207.0735/
00077,19971207.0740/
00075,19971207.0745/
00073,19971207.0750/
00071,19971207.0755/
00069,19971207.0800/
00068,19971207.0805/
00066,19971207.0810/
00065,19971207.0815/
00064,19971207.0820/
00063,19971207.0825/
00062,19971207.0830/
00061,19971207.0835/
00060,19971207.0840/
00059,19971207.0845/
00058,19971207.0850/
00057,19971207.0855/
00056,19971207.0900/
00055,19971207.0905/
00055,19971207.0910/
00055,19971207.0915/
00055,19971207.0920/
00055,19971207.0925/
00055,19971207.0930/
00055,19971207.0935/
00055,19971207.0940/
00055,19971207.0945/
00056,19971207.0950/
00057,19971207.0955/
00059,19971207.1000/
00060,19971207.1005/
00061,19971207.1010/
00062,19971207.1015/
00063,19971207.1020/
00064,19971207.1025/
00066,19971207.1030/
00067,19971207.1035/
00068,19971207.1040/
00069,19971207.1045/
00071,19971207.1050/
00072,19971207.1055/
00075,19971207.1100/
00077,19971207.1105/
00079,19971207.1110/
00082,19971207.1115/
00084,19971207.1120/
00087,19971207.1125/
00089,19971207.1130/
00092,19971207.1135/
00094,19971207.1140/
00097,19971207.1145/
00100,19971207.1150/
00102,19971207.1155/
00105,19971207.1200/
00108,19971207.1205/
00110,19971207.1210/
00113,19971207.1215/
00116,19971207.1220/
00118,19971207.1225/
00121,19971207.1230/
00124,19971207.1235/
00126,19971207.1240/
00129,19971207.1245/
00132,19971207.1250/
00134,19971207.1255/
00137,19971207.1300/
00139,19971207.1305/
00142,19971207.1310/
00145,19971207.1315/
00148,19971207.1320/
00151,19971207.1325/
00154,19971207.1330/
00156,19971207.1335/
00159,19971207.1340/
00161,19971207.1345/
00163,19971207.1350/
00165,19971207.1355/
00167,19971207.1400/
00169,19971207.1405/
00171,19971207.1410/
00173,19971207.1415/
00175,19971207.1420/
00177,19971207.1425/
00178,19971207.1430/
00179,19971207.1435/
00181,19971207.1440/
00182,19971207.1445/
00184,19971207.1450/
00185,19971207.1455/
00187,19971207.1500/
00188,19971207.1505/
00190,19971207.1510/
00191,19971207.1515/
00191,19971207.1520/
00192,19971207.1525/
00193,19971207.1530/
00193,19971207.1535/
00193,19971207.1540/
00193,19971207.1545/
00193,19971207.1550/
00193,19971207.1555/
